Census Year,Religious affiliation,Unit,Value
2006,No Religion,Count,14709
2006,Buddhist,Count,270
2006,Christian,Count,26730
2006,Hindu,Count,201
2006,Islam/Muslim,Count,81
2006,Judaism/ Jewish,Count,57
2006,Maori Christian,Count,3237
2006,Spiritualism and New Age Religions,Count,252
2006,Other Religions,Count,297
2006,Object to Answering,Count,4140
2006,Total people stated,Count,48654
2006,Not Elsewhere Included,Count,7323
2006,Total people,Count,55845
2006,No Religion,Count,24954
2006,Buddhist,Count,393
2006,Christian,Count,35589
2006,Hindu,Count,282
2006,Islam/Muslim,Count,108
2006,Judaism/ Jewish,Count,72
2006,Maori Christian,Count,1905
2006,Spiritualism and New Age Religions,Count,369
2006,Other Religions,Count,342
2006,Object to Answering,Count,5556
2006,Total people stated,Count,68040
2006,Not Elsewhere Included,Count,6570
2006,Total people,Count,74460
2006,No Religion,Count,5733
2006,Buddhist,Count,78
2006,Christian,Count,8889
2006,Hindu,Count,39
2006,Islam/Muslim,Count,12
2006,Judaism/ Jewish,Count,9
2006,Maori Christian,Count,603
2006,Spiritualism and New Age Religions,Count,102
2006,Other Religions,Count,60
2006,Object to Answering,Count,1551
2006,Total people stated,Count,16674
2006,Not Elsewhere Included,Count,1503
2006,Total people,Count,18132
2006,No Religion,Count,390411
2006,Buddhist,Count,29217
2006,Christian,Count,636405
2006,Hindu,Count,45327
2006,Islam/Muslim,Count,23688
2006,Judaism/ Jewish,Count,3315
2006,Maori Christian,Count,14574
2006,Spiritualism and New Age Religions,Count,5910
2006,Other Religions,Count,11715
2006,Object to Answering,Count,67299
2006,Total people stated,Count,1201611
2006,Not Elsewhere Included,Count,106242
2006,Total people,Count,1304958
2006,No Religion,Count,9375
2006,Buddhist,Count,234
2006,Christian,Count,12405
2006,Hindu,Count,90
2006,Islam/Muslim,Count,27
2006,Judaism/ Jewish,Count,30
2006,Maori Christian,Count,363
2006,Spiritualism and New Age Religions,Count,225
2006,Other Religions,Count,108
2006,Object to Answering,Count,2073
2006,Total people stated,Count,24243
2006,Not Elsewhere Included,Count,1761
2006,Total people,Count,25941
2006,No Religion,Count,6321
2006,Buddhist,Count,75
2006,Christian,Count,8367
2006,Hindu,Count,57
2006,Islam/Muslim,Count,21
2006,Judaism/ Jewish,Count,21
2006,Maori Christian,Count,417
2006,Spiritualism and New Age Religions,Count,114
2006,Other Religions,Count,93
2006,Object to Answering,Count,1587
2006,Total people stated,Count,16614
2006,Not Elsewhere Included,Count,1278
2006,Total people,Count,17859
2006,No Religion,Count,20358
2006,Buddhist,Count,255
2006,Christian,Count,26262
2006,Hindu,Count,240
2006,Islam/Muslim,Count,99
2006,Judaism/ Jewish,Count,63
2006,Maori Christian,Count,669
2006,Spiritualism and New Age Religions,Count,327
2006,Other Religions,Count,624
2006,Object to Answering,Count,4284
2006,Total people stated,Count,51744
2006,Not Elsewhere Included,Count,5970
2006,Total people,Count,57585
2006,No Religion,Count,9651
2006,Buddhist,Count,246
2006,Christian,Count,16392
2006,Hindu,Count,87
2006,Islam/Muslim,Count,75
2006,Judaism/ Jewish,Count,24
2006,Maori Christian,Count,336
2006,Spiritualism and New Age Religions,Count,135
2006,Other Religions,Count,264
2006,Object to Answering,Count,2145
2006,Total people stated,Count,28653
2006,Not Elsewhere Included,Count,1875
2006,Total people,Count,30483
2006,No Religion,Count,43281
2006,Buddhist,Count,2004
2006,Christian,Count,62331
2006,Hindu,Count,2256
2006,Islam/Muslim,Count,1755
2006,Judaism/ Jewish,Count,138
2006,Maori Christian,Count,1629
2006,Spiritualism and New Age Religions,Count,672
2006,Other Religions,Count,1083
2006,Object to Answering,Count,7512
2006,Total people stated,Count,120003
2006,Not Elsewhere Included,Count,9867
2006,Total people,Count,129588
2006,No Religion,Count,14127
2006,Buddhist,Count,177
2006,Christian,Count,22926
2006,Hindu,Count,147
2006,Islam/Muslim,Count,54
2006,Judaism/ Jewish,Count,33
2006,Maori Christian,Count,468
2006,Spiritualism and New Age Religions,Count,222
2006,Other Religions,Count,201
2006,Object to Answering,Count,2904
2006,Total people stated,Count,40344
2006,Not Elsewhere Included,Count,2235
2006,Total people,Count,42501
2006,No Religion,Count,3162
2006,Buddhist,Count,48
2006,Christian,Count,4296
2006,Hindu,Count,39
2006,Islam/Muslim,Count,15
2006,Judaism/ Jewish,Count,6
2006,Maori Christian,Count,180
2006,Spiritualism and New Age Religions,Count,45
2006,Other Religions,Count,51
2006,Object to Answering,Count,723
2006,Total people stated,Count,8340
2006,Not Elsewhere Included,Count,753
2006,Total people,Count,9078
2006,No Religion,Count,7176
2006,Buddhist,Count,99
2006,Christian,Count,11256
2006,Hindu,Count,75
2006,Islam/Muslim,Count,36
2006,Judaism/ Jewish,Count,15
2006,Maori Christian,Count,1260
2006,Spiritualism and New Age Religions,Count,93
2006,Other Religions,Count,117
2006,Object to Answering,Count,1791
2006,Total people stated,Count,20673
2006,Not Elsewhere Included,Count,2007
2006,Total people,Count,22644
2006,No Religion,Count,3216
2006,Buddhist,Count,30
2006,Christian,Count,4338
2006,Hindu,Count,30
2006,Islam/Muslim,Count,12
2006,Judaism/ Jewish,Count,6
2006,Maori Christian,Count,438
2006,Spiritualism and New Age Religions,Count,33
2006,Other Religions,Count,63
2006,Object to Answering,Count,717
2006,Total people stated,Count,8613
2006,Not Elsewhere Included,Count,840
2006,Total people,Count,9441
2006,No Religion,Count,10701
2006,Buddhist,Count,159
2006,Christian,Count,15129
2006,Hindu,Count,93
2006,Islam/Muslim,Count,48
2006,Judaism/ Jewish,Count,27
2006,Maori Christian,Count,1929
2006,Spiritualism and New Age Religions,Count,141
2006,Other Religions,Count,165
2006,Object to Answering,Count,2118
2006,Total people stated,Count,29664
2006,Not Elsewhere Included,Count,2826
2006,Total people,Count,32418
2006,No Religion,Count,14031
2006,Buddhist,Count,216
2006,Christian,Count,20247
2006,Hindu,Count,216
2006,Islam/Muslim,Count,81
2006,Judaism/ Jewish,Count,33
2006,Maori Christian,Count,951
2006,Spiritualism and New Age Religions,Count,219
2006,Other Religions,Count,471
2006,Object to Answering,Count,3210
2006,Total people stated,Count,38559
2006,Not Elsewhere Included,Count,3339
2006,Total people,Count,41826
2006,No Religion,Count,34995
2006,Buddhist,Count,546
2006,Christian,Count,52113
2006,Hindu,Count,582
2006,Islam/Muslim,Count,303
2006,Judaism/ Jewish,Count,108
2006,Maori Christian,Count,2763
2006,Spiritualism and New Age Religions,Count,543
2006,Other Religions,Count,1068
2006,Object to Answering,Count,7248
2006,Total people stated,Count,97722
2006,Not Elsewhere Included,Count,6390
2006,Total people,Count,103881
2006,No Religion,Count,21297
2006,Buddhist,Count,444
2006,Christian,Count,32520
2006,Hindu,Count,492
2006,Islam/Muslim,Count,255
2006,Judaism/ Jewish,Count,39
2006,Maori Christian,Count,2478
2006,Spiritualism and New Age Religions,Count,264
2006,Other Religions,Count,366
2006,Object to Answering,Count,4515
2006,Total people stated,Count,60387
2006,Not Elsewhere Included,Count,5655
2006,Total people,Count,65901
2006,No Religion,Count,9537
2006,Buddhist,Count,102
2006,Christian,Count,15750
2006,Hindu,Count,99
2006,Islam/Muslim,Count,30
2006,Judaism/ Jewish,Count,24
2006,Maori Christian,Count,2997
2006,Spiritualism and New Age Religions,Count,111
2006,Other Religions,Count,168
2006,Object to Answering,Count,2388
2006,Total people stated,Count,30234
2006,Not Elsewhere Included,Count,3141
2006,Total people,Count,33297
2006,No Religion,Count,2067
2006,Buddhist,Count,9
2006,Christian,Count,3027
2006,Hindu,Count,33
2006,Islam/Muslim,Count,9
2006,Judaism/ Jewish,Count,6
2006,Maori Christian,Count,774
2006,Spiritualism and New Age Religions,Count,21
2006,Other Religions,Count,27
2006,Object to Answering,Count,612
2006,Total people stated,Count,6327
2006,Not Elsewhere Included,Count,609
2006,Total people,Count,6924
2006,No Religion,Count,2103
